date,open,high,low,close,volume
2015-08-18,16.96,16.96,16.46,14.7024,15286190
2015-08-19,16.44,16.66,16.235,14.6224,13984610
2015-08-20,16.31,16.37,15.97,14.2132,12890000
2015-08-21,15.82,16.04,15.46,13.7685,19420699
2015-08-24,14.67,15.67,14.25,13.4305,34065191
2015-08-25,15.43,15.6,14.84,13.1993,26214311
2015-08-26,15.2,15.35,14.71,13.555,38654406
2015-08-27,15.38,16.0,15.36,14.1777,21758930
2015-08-28,15.86,16.18,15.84,14.2221,11053650
2015-08-31,15.96,16.2099,15.8502,14.3066,16130220
2015-09-01,15.68,16.01,15.39,13.7774,17930301
2015-09-02,15.73,15.79,15.38,13.9464,13136750
2015-09-03,15.78,16.125,15.74,14.0176,13300420
2015-09-04,15.57,15.67,15.28,13.6885,15285310
2015-09-08,15.68,15.8,15.62,13.9909,14935260
2015-09-09,15.74,15.91,15.44,13.7507,15443820
2015-09-10,15.41,15.8,15.26,13.8397,15423970
2015-09-11,15.54,15.63,15.35,13.7863,10501800
2015-09-14,15.5,15.705,15.49,13.8752,10151540
2015-09-15,15.77,15.95,15.68,14.1599,13098680
2015-09-16,15.98,16.2,15.825,14.3822,12053370
2015-09-17,16.04,16.31,15.915,14.2488,15661680
2015-09-18,15.83,16.095,15.73,14.1688,24123420
2015-09-21,16.0,16.05,15.56,13.9108,14699290
2015-09-22,15.46,15.56,14.97,13.4305,19368449
2015-09-23,15.05,15.1,14.58,12.9902,16846461
2015-09-24,14.55,14.88,14.29,13.0659,19878570
2015-09-25,14.96,15.0,14.395,12.9858,17564350
2015-09-28,14.59,14.65,14.36,12.7812,29601061
2015-09-29,14.42,14.73,14.33,12.9413,17131141
2015-09-30,14.69,14.87,14.59,13.0659,22366260
2015-10-01,14.72,14.78,14.45,13.0481,17555449
2015-10-02,14.49,14.94,14.435,13.2882,14386220
2015-10-05,14.64,15.175,14.64,13.4305,23367150
2015-10-06,15.09,15.32,14.92,13.555,13667710
2015-10-07,15.4,15.6211,15.21,13.6885,17420980
2015-10-08,15.39,15.725,15.33,13.9375,11398350
2015-10-09,15.62,15.72,15.32,13.9197,14906140
2015-10-12,15.62,15.65,15.47,13.8752,8574104
2015-10-13,15.44,15.53,15.13,13.4661,17777070
2015-10-14,15.21,15.51,15.07,13.7329,20314039
2015-10-15,15.6,15.895,15.4,13.982,25250641
2015-10-16,15.75,16.01,15.58,14.0798,15916600
2015-10-19,16.0,16.045,15.64,14.0576,11012250
2015-10-20,15.79,16.32,15.7501,14.4,19316660
2015-10-21,16.53,16.7,16.05,14.2933,20915539
2015-10-22,16.2,16.67,16.08,14.4178,31972221
2015-10-23,16.2,16.51,16.12,14.6224,15106030
2015-10-26,16.65,16.7,16.08,14.5245,11076180
2015-10-27,16.26,16.66,16.25,14.4712,14499900
2015-10-28,16.12,16.66,16.12,14.7113,13535440
2015-10-29,16.5,16.82,16.37,14.8892,14808450
2015-10-30,16.7,16.825,16.57,14.9159,10770710
2015-11-02,16.79,16.95,16.77,15.0226,7825505
2015-11-03,16.9,17.05,16.76,15.1205,9825826
2015-11-04,16.91,17.03,16.82,15.0048,11165060
2015-11-05,16.91,17.01,16.675,14.9515,9679525
2015-11-06,16.78,17.055,16.63,15.1649,11137280
2015-11-09,16.77,17.04,16.64,14.9515,12893620
2015-11-10,16.65,16.835,16.585,14.907,9401924
2015-11-11,16.84,16.885,16.6,14.9337,7059575
2015-11-12,16.69,16.8299,16.5,14.7024,18726971
2015-11-13,17.12,17.5,16.85,15.3339,20075490
2015-11-16,17.14,17.79,17.02,15.7786,15869880
2015-11-17,17.66,17.9,17.5201,15.9352,15621160
2015-11-18,17.83,18.18,17.82,16.2169,12712280
2015-11-19,18.2,18.42,18.14,16.2795,12973470
2015-11-20,18.29,18.36,17.99,16.2617,13651140
2015-11-23,17.82,18.48,17.82,16.2169,8125746
2015-11-24,17.96,18.54,17.95,16.4406,11883630
2015-11-25,18.45,18.67,18.3,16.5032,12357550
2015-11-27,18.41,18.735,18.39,16.6552,5012283
2015-11-30,18.72,18.92,18.695,16.7894,11926060
2015-12-01,18.74,19.225,18.72,17.1561,17276490
2015-12-02,19.09,19.34,19.08,17.1114,10679390
2015-12-03,19.23,19.31,18.685,16.7805,15094920
2015-12-04,18.74,19.09,18.74,17.022,12265940
2015-12-07,19.1,19.15,18.88,16.9146,13871110
2015-12-08,18.63,19.02,18.61,16.9504,10641220
2015-12-09,18.72,19.29,18.71,17.022,13953520
2015-12-10,18.88,18.98,18.71,16.7715,13510960
2015-12-11,18.6,18.62,18.26,16.3869,13903770
2015-12-14,18.4,18.43,17.82,16.1454,17322311
2015-12-15,18.2,18.57,18.165,16.5121,16828359
2015-12-16,18.51,18.6,18.15,16.5479,14933240
2015-12-17,18.71,18.71,18.04,16.1543,13475450
2015-12-18,17.93,18.195,17.85,16.1901,29994461
2015-12-21,18.3,18.55,18.15,16.5658,9573316
2015-12-22,18.56,18.84,18.42,16.776,9538764
2015-12-23,18.8,19.26,18.77,17.0756,15180520
2015-12-24,19.08,19.19,19.02,17.0935,3215265
2015-12-28,19.18,19.24,18.75,16.9951,8102287
2015-12-29,19.01,19.41,19.01,17.2277,10880450
2015-12-30,19.09,19.35,18.94,16.9594,6435422
2015-12-31,18.94,18.96,18.67,16.7,8685066
2016-01-04,18.31,18.47,18.205,16.5211,13331700
2016-01-05,18.47,18.625,18.29,16.5389,9442776
2016-01-06,18.17,18.23,17.24,15.8591,28687170
2016-01-07,17.3,17.61,17.02,15.394,17003240
2016-01-08,17.23,17.255,16.52,15.0183,30972789
2016-01-11,16.98,17.05,16.4,14.9199,23412740
2016-01-12,16.93,17.2,16.57,14.9826,13943710
2016-01-13,16.92,17.105,16.02,14.4906,26701109
2016-01-14,16.36,17.03,16.205,15.0362,20913240
2016-01-15,15.95,16.42,15.85,14.3832,25362660
2016-01-19,16.36,16.76,16.315,14.7142,21473670
2016-01-20,16.32,16.59,15.96,14.6426,27857801
2016-01-21,16.55,17.1,16.26,15.0362,17693109
2016-01-22,17.18,17.36,16.86,15.2509,14021270
2016-01-25,17.0,17.16,16.9,15.1257,9212120
2016-01-26,17.05,17.48,17.0,15.5192,15786660
2016-01-27,17.3,17.52,16.98,15.2867,12590160
2016-01-28,17.23,17.58,16.67,14.9199,17497160
2016-01-29,16.83,17.69,16.83,15.7876,18896721
2016-02-01,17.45,17.815,17.4,15.7876,8861090
2016-02-02,17.4,17.435,16.99,15.2509,11379630
2016-02-03,17.42,17.43,16.88,15.4656,9221594
2016-02-04,17.34,17.77,17.255,15.725,13648090
2016-02-05,17.42,17.505,16.691,15.0362,16145170
2016-02-08,16.56,16.57,15.865,14.4816,15377250
2016-02-09,15.98,16.35,15.62,14.4011,13838920
2016-02-10,16.19,16.3,15.95,14.3027,13051610
2016-02-11,15.72,15.94,15.44,13.9897,11210360
2016-02-12,15.8,16.14,15.5,14.3654,8707219
2016-02-16,16.15,16.985,16.15,14.9557,22150131
2016-02-17,16.89,17.27,16.78,15.3314,11855610
2016-02-18,17.17,17.29,17.03,15.3582,12865470
2016-02-19,18.5,18.845,18.23,16.4406,35168207
2016-02-22,18.7,18.82,18.45,16.6284,15303390
2016-02-23,18.48,18.725,18.4172,16.6464,12056290
2016-02-24,18.28,18.72,18.09,16.8083,10670970
2016-02-25,18.76,18.95,18.58,16.9881,10102040
2016-02-26,19.0,19.015,18.81,17.087,10634350
2016-02-29,18.98,19.23,18.87,16.9701,9630518
2016-03-01,19.09,19.38,18.99,17.4198,10150550
2016-03-02,19.15,19.51,19.1,17.5277,11373280
2016-03-03,19.4,19.55,19.31,17.4917,8138339
2016-03-04,19.55,19.55,19.27,17.4378,8932573
2016-03-07,19.21,19.5,19.19,17.4827,9204121
2016-03-08,19.26,19.41,18.76,16.8892,12899050
