date,open,high,low,close,volume,oscillator,phase,amplitude,phase_quadrant,signal,position,signal_strength,confidence
2015-10-08,15.39,15.725,15.33,13.9375,11398350,-0.5477250000000033,1.5760805996451743,103.65239733024713,Quadrante 4 (Discesa -> Minimo),HOLD,0,33.70008108108916,MEDIUM
2015-10-09,15.62,15.72,15.32,13.9197,14906140,-0.42542999999999687,1.5854304040506761,29.07222489603477,Quadrante 4 (Discesa -> Minimo),HOLD,0,9.412800294404752,LOW
2015-10-12,15.62,15.65,15.47,13.8752,8574104,-0.29507499999999887,1.5781097637090515,40.347326967418795,Quadrante 4 (Discesa -> Minimo),HOLD,0,13.084574721418694,LOW
2015-10-13,15.44,15.53,15.13,13.4661,17777070,-0.20279250000000104,1.5815028063153618,18.941461940975103,Quadrante 4 (Discesa -> Minimo),HOLD,0,6.113683700246756,LOW
2015-10-14,15.21,15.51,15.07,13.7329,20314039,-0.11185500000000026,1.5750784060162164,26.121735739142498,Quadrante 4 (Discesa -> Minimo),HOLD,0,16.88271808554761,LOW
2015-10-15,15.6,15.895,15.4,13.982,25250641,-0.0024550000000029826,1.5709683956809257,14.267541731569166,Quadrante 4 (Discesa -> Minimo),HOLD,0,9.168018194057451,LOW
2015-10-16,15.75,16.01,15.58,14.0798,15916600,0.08004000000000033,1.5667142812308386,19.607870865254622,Quadrante 3 (Picco -> Discesa),HOLD,0,12.63961428550769,LOW
2015-10-19,16.0,16.045,15.64,14.0576,11012250,0.13552249999999866,1.5590896591054517,11.57678676081738,Quadrante 3 (Picco -> Discesa),HOLD,0,7.412106059291468,LOW
2015-10-20,15.79,16.32,15.7501,14.4,19316660,0.19578500000000076,1.558406602093467,15.802611745865683,Quadrante 3 (Picco -> Discesa),HOLD,0,10.161040274109737,LOW
2015-10-21,16.53,16.7,16.05,14.2933,20915539,0.22891500000000065,1.5473957808245653,9.783356908969703,Quadrante 3 (Picco -> Discesa),HOLD,0,6.245907375558659,LOW
2015-10-22,16.2,16.67,16.08,14.4178,31972221,0.2553750000000008,1.551526937877208,13.25370543039772,Quadrante 3 (Picco -> Discesa),HOLD,0,8.504109994288338,LOW
2015-10-23,16.2,16.51,16.12,14.6224,15106030,0.31452749999999696,1.5334416855686483,8.42199653325247,Quadrante 3 (Picco -> Discesa),HOLD,0,5.359362273109366,LOW
2015-10-26,16.65,16.7,16.08,14.5245,11076180,0.3718974999999993,1.538119970442531,11.383267036811462,Quadrante 3 (Picco -> Discesa),HOLD,0,7.282904497591787,LOW
2015-10-27,16.26,16.66,16.25,14.4712,14499900,0.46829250000000044,1.5073833376229895,7.389755689124874,Quadrante 3 (Picco -> Discesa),HOLD,0,4.67957424196507,LOW
2015-10-28,16.12,16.66,16.12,14.7113,13535440,0.5427849999999985,1.5166257834658978,10.024831207308607,Quadrante 3 (Picco -> Discesa),HOLD,0,6.386619537434177,LOW
2015-10-29,16.5,16.82,16.37,14.8892,14808450,0.6099350000000001,1.4790103540453887,6.654527271697799,Quadrante 3 (Picco -> Discesa),HOLD,0,4.195305229710249,LOW
2015-10-30,16.7,16.825,16.57,14.9159,10770710,0.6710875000000005,1.496139168629478,8.997279401990447,Quadrante 3 (Picco -> Discesa),HOLD,0,5.712999111564258,LOW
2015-11-02,16.79,16.95,16.77,15.0226,7825505,0.734235,1.4498975913278096,6.08796039225895,Quadrante 3 (Picco -> Discesa),HOLD,0,3.8257521205745615,LOW
